Время,"Визиты"
2015-01-01,67054003
2015-01-02,85701308
2015-01-03,91585678
2015-01-04,94632940
2015-01-05,97029139
2015-01-06,97253570
2015-01-07,98551515
2015-01-08,103520262
2015-01-09,103655710
2015-01-10,102954258
2015-01-11,106567079
2015-01-12,126608070
2015-01-13,122152573
2015-01-14,124086088
2015-01-15,121791677
2015-01-16,115551282
2015-01-17,99234001
2015-01-18,108770011
2015-01-19,126293297
2015-01-20,126454130
2015-01-21,123998099
2015-01-22,124325418
2015-01-23,117817521
2015-01-24,102050510
2015-01-25,111368659
2015-01-26,130491230
2015-01-27,128404226
2015-01-28,126301558
2015-01-29,124361449
2015-01-30,117567557
2015-01-31,100875949
2015-02-01,110401452
2015-02-02,128047549
2015-02-03,126892621
2015-02-04,125779793
2015-02-05,124317739
2015-02-06,116702380
2015-02-07,99100119
2015-02-08,109857460
2015-02-09,130584875
2015-02-10,128426485
2015-02-11,125471113
2015-02-12,123620884
2015-02-13,116841505
2015-02-14,97455989
2015-02-15,108686119
2015-02-16,131689227
2015-02-17,128238161
2015-02-18,126100995
2015-02-19,125439043
2015-02-20,112457597
2015-02-21,94551646
2015-02-22,98728893
2015-02-23,108200110
2015-02-24,128070290
2015-02-25,125177944
2015-02-26,122229975
2015-02-27,112856806
2015-02-28,99215797
2015-03-01,107186983
2015-03-02,126551105
2015-03-03,124516724
2015-03-04,121730749
2015-03-05,116644720
2015-03-06,102197339
2015-03-07,89385996
2015-03-08,91259577
2015-03-09,103979237
2015-03-10,123543555
2015-03-11,121148885
2015-03-12,123318764
2015-03-13,114365840
2015-03-14,95112463
2015-03-15,106626283
2015-03-16,126441385
2015-03-17,124706792
2015-03-18,120800459
2015-03-19,119591096
2015-03-20,113086374
2015-03-21,95562227
2015-03-22,106710025
2015-03-23,127313884
2015-03-24,123903723
2015-03-25,119234006
2015-03-26,119036896
2015-03-27,113219473
2015-03-28,97545226
2015-03-29,108559131
2015-03-30,129059933
2015-03-31,126572349
2015-04-01,122388448
2015-04-02,121949756
2015-04-03,115284888
2015-04-04,97531764
2015-04-05,110134920
2015-04-06,126205585
2015-04-07,125152278
2015-04-08,120369606
2015-04-09,117564645
2015-04-10,109251492
2015-04-11,85778126
2015-04-12,90808150
2015-04-13,121524145
2015-04-14,121904562
2015-04-15,118970231
2015-04-16,118739545
2015-04-17,110023600
2015-04-18,89794350
2015-04-19,104303477
2015-04-20,126159586
2015-04-21,122005399
2015-04-22,122134816
2015-04-23,120780020
2015-04-24,111438009
2015-04-25,89149622
2015-04-26,99775817
2015-04-27,122476512
2015-04-28,115075121
2015-04-29,108827291
2015-04-30,94900833
2015-05-01,73587476
2015-05-02,75038388
2015-05-03,82799428
2015-05-04,97367303
2015-05-05,115759159
2015-05-06,113193247
2015-05-07,109011896
2015-05-08,94462000
2015-05-09,67231336
2015-05-10,79273913
2015-05-11,93720347
2015-05-12,118360007
2015-05-13,115542290
2015-05-14,114111977
2015-05-15,104786975
2015-05-16,89448867
2015-05-17,104210910
2015-05-18,126385301
2015-05-19,122365329
2015-05-20,115251986
2015-05-21,110151951
2015-05-22,99694281
2015-05-23,78480775
2015-05-24,91803547
2015-05-25,116456448
2015-05-26,112710319
2015-05-27,110140679
2015-05-28,108240763
2015-05-29,99833116
2015-05-30,76933057
2015-05-31,87512568
2015-06-01,112015980
2015-06-02,111814027
2015-06-03,108753891
2015-06-04,106280382
2015-06-05,100550688
2015-06-06,77783433
2015-06-07,85758573
2015-06-08,115429035
2015-06-09,113749783
2015-06-10,108993851
2015-06-11,96897170
2015-06-12,73717785
2015-06-13,71722200
2015-06-14,81975651
2015-06-15,112997032
2015-06-16,112596181
2015-06-17,109137184
2015-06-18,105234658
2015-06-19,95923214
2015-06-20,72629958
2015-06-21,80684027
2015-06-22,106528624
2015-06-23,104096336
2015-06-24,102313737
2015-06-25,103187752
2015-06-26,95004811
2015-06-27,74080933
2015-06-28,80867746
2015-06-29,107471424
2015-06-30,103754545
2015-07-01,100193466
2015-07-02,99720860
2015-07-03,94397660
2015-07-04,71653934
2015-07-05,78897459
2015-07-06,107539016
2015-07-07,108729342
2015-07-08,104396359
2015-07-09,101757811
2015-07-10,95970374
2015-07-11,75982578
2015-07-12,85259594
2015-07-13,110890769
2015-07-14,106962259
2015-07-15,104210404
2015-07-16,100734172
2015-07-17,93939495
2015-07-18,72703712
2015-07-19,79046430
2015-07-20,108515453
2015-07-21,107793604
2015-07-22,104209899
2015-07-23,102108083
2015-07-24,95337435
2015-07-25,71853196
2015-07-26,77211680
2015-07-27,106962456
2015-07-28,106750682
2015-07-29,104014146
2015-07-30,101897298
2015-07-31,95741289
2015-08-01,74391765
2015-08-02,79678952
2015-08-03,106656345
2015-08-04,107259117
2015-08-05,102768598
2015-08-06,101644113
2015-08-07,94335362
2015-08-08,72346302
2015-08-09,78185160
2015-08-10,107358701
2015-08-11,105363410
2015-08-12,103297508
2015-08-13,102108799
2015-08-14,96683526
2015-08-15,74415992
2015-08-16,81552781
2015-08-17,110370098
2015-08-18,109443997
2015-08-19,107090200
2015-08-20,103030635
2015-08-21,95282460
2015-08-22,72659241
2015-08-23,78972287
2015-08-24,110022604
2015-08-25,107912000
2015-08-26,106867220
2015-08-27,104740583
2015-08-28,99659030
2015-08-29,79428077
2015-08-30,87644510
2015-08-31,109510122
2015-09-01,102736785
2015-09-02,109229779
2015-09-03,109523645
2015-09-04,102192704
2015-09-05,83239335
2015-09-06,94028263
2015-09-07,117830173
2015-09-08,117345589
2015-09-09,115595886
2015-09-10,112813241
2015-09-11,103826057
2015-09-12,82469388
2015-09-13,93323497
2015-09-14,118576989
2015-09-15,115605205
2015-09-16,115050280
2015-09-17,113687819
2015-09-18,104196197
2015-09-19,82839662
2015-09-20,95682721
2015-09-21,122125794
2015-09-22,119266484
2015-09-23,116927759
2015-09-24,113554733
2015-09-25,104993999
2015-09-26,82979804
2015-09-27,96479202
2015-09-28,124288724
2015-09-29,122236114
2015-09-30,119056269
2015-10-01,114723870
2015-10-02,108614375
2015-10-03,89479469
2015-10-04,98807150
2015-10-05,121913386
2015-10-06,122478854
2015-10-07,121462423
2015-10-08,121079225
2015-10-09,112438565
2015-10-10,92547985
2015-10-11,103965375
2015-10-12,127710496
2015-10-13,126514408
2015-10-14,125615083
2015-10-15,122221958
2015-10-16,113225600
2015-10-17,93306341
2015-10-18,107701232
2015-10-19,132344002
2015-10-20,130295231
2015-10-21,128244243
2015-10-22,126592579
2015-10-23,118581812
2015-10-24,98517954
2015-10-25,111993572
2015-10-26,134811332
2015-10-27,131955493
2015-10-28,129042783
2015-10-29,125279439
2015-10-30,115745588
2015-10-31,97308098
2015-11-01,103676309
2015-11-02,127906664
2015-11-03,121515212
2015-11-04,110223813
2015-11-05,128737319
2015-11-06,120383096
2015-11-07,101280977
2015-11-08,112889569
2015-11-09,134239035
2015-11-10,130194838
2015-11-11,128102176
2015-11-12,129155631
2015-11-13,121862485
2015-11-14,101001527
2015-11-15,115250179
2015-11-16,136143184
2015-11-17,132860125
2015-11-18,131135325
2015-11-19,129592703
2015-11-20,121505810
2015-11-21,102752409
2015-11-22,114617481
2015-11-23,136228294
2015-11-24,130401893
2015-11-25,127292909
2015-11-26,127317845
2015-11-27,119152510
2015-11-28,101117452
2015-11-29,114337266
2015-11-30,134293817
2015-12-01,131781753
2015-12-02,131142608
2015-12-03,130861540
2015-12-04,123334593
2015-12-05,104983464
2015-12-06,118897605
2015-12-07,139904929
2015-12-08,136717842
2015-12-09,133697015
2015-12-10,129777284
2015-12-11,121243967
2015-12-12,102977708
2015-12-13,116240492
2015-12-14,137313868
2015-12-15,134159509
2015-12-16,131478767
2015-12-17,128726319
2015-12-18,119030058
2015-12-19,102353974
2015-12-20,114758291
2015-12-21,133979932
2015-12-22,129756093
2015-12-23,124910809
2015-12-24,120763092
2015-12-25,110839012
2015-12-26,95548379
2015-12-27,101810712
2015-12-28,116523092
2015-12-29,109391454
